=====================RELATIVE FREQUENCY=====================

1 7.80295
2 6.21463
3 5.89589
4 5.80404
5 5.51546
6 4.99548
7 4.80324
8 4.56148
9 4.45838
10 4.15854
11 4.14279
12 3.78037
13 3.47603
14 3.27029
15 3.20501
16 3.16629
17 3.16404
18 3.14243
19 2.9547
20 2.7539
21 2.43921
22 2.27939
23 2.18665
24 2.15018
25 2.13982
26 1.5388
