=====================RELATIVE FREQUENCY=====================

1 8.50447
2 6.97203
3 6.68816
4 6.0193
5 5.95499
6 5.7962
7 5.36641
8 4.6359
9 4.61993
10 4.4159
11 3.96748
12 3.87744
13 3.76656
14 3.62817
15 3.26668
16 2.77435
17 2.76992
18 2.69895
19 2.68343
20 2.59161
21 2.37783
22 2.25674
23 2.06646
24 1.80255
25 0.498541
