=====================RELATIVE FREQUENCY=====================

1 13.1186
2 9.23764
3 7.5921
4 7.37787
5 7.16009
6 7.01594
7 6.87977
8 6.34131
9 5.95987
10 4.15909
11 4.09921
12 2.83379
13 2.72468
14 2.4142
15 2.40488
16 2.32992
17 1.91344
18 1.61139
19 1.52534
20 1.29958
21 1.10486
22 0.598338
23 0.109555
24 0.0980227
25 0.0612087
26 0.0292737
