=====================RELATIVE FREQUENCY=====================

1 4.19267
2 4.18827
3 4.15663
4 4.14477
5 4.03929
6 4.01028
7 3.97996
8 3.96414
9 3.94876
10 3.92722
11 3.91448
12 3.91008
13 3.84855
14 3.80988
15 3.76813
16 3.75758
17 3.72066
18 3.69869
19 3.68419
20 3.66265
21 3.64903
22 3.64859
23 3.64683
24 3.59629
25 3.59409
26 3.53828
